date,WP(MW)
2020/1/2 19:30,12270.78
2020/1/2 19:45,12610.71
2020/1/2 20:00,13029.27
2020/1/2 20:15,13215.46
2020/1/2 20:30,13146.76
2020/1/2 20:45,13424.84
2020/1/2 21:00,13627.68
2020/1/2 21:15,13567.18
2020/1/2 21:30,13456.55
2020/1/2 21:45,13239.31
2020/1/2 22:00,13156.86
2020/1/2 22:15,13034.89
2020/1/2 22:30,13247.18
2020/1/2 22:45,13423.94
2020/1/2 23:00,13534.69
2020/1/2 23:15,13425.08
2020/1/2 23:30,13271.99
2020/1/2 23:45,12873
2020/1/3 0:00,6459.17
2020/1/3 0:15,10995.51
2020/1/3 0:30,10850.03
2020/1/3 0:45,11054.31
2020/1/3 1:00,11007.83
2020/1/3 1:15,11075.88
2020/1/3 1:30,11181.45
2020/1/3 1:45,11381.26
2020/1/3 2:00,11074.56
2020/1/3 2:15,11040.1
2020/1/3 2:30,11326.39
2020/1/3 2:45,11369.15
2020/1/3 3:00,11347.63
2020/1/3 3:15,11312.3
2020/1/3 3:30,11296.78
2020/1/3 3:45,11487.44
2020/1/3 4:00,11739.85
2020/1/3 4:15,11791.46
2020/1/3 4:30,11424.62
2020/1/3 4:45,11219.52
2020/1/3 5:00,11307.58
2020/1/3 5:15,11256.66
2020/1/3 5:30,11396
2020/1/3 5:45,11355.24
2020/1/3 6:00,11374.88
2020/1/3 6:15,11352.19
2020/1/3 6:30,11126.9
2020/1/3 6:45,11049.86
2020/1/3 7:00,10929.88
2020/1/3 7:15,10974.1
2020/1/3 7:30,11079.35
2020/1/3 7:45,11131.13
2020/1/3 8:00,11406
2020/1/3 8:15,11040.74
2020/1/3 8:30,10798.26
2020/1/3 8:45,10991.84
2020/1/3 9:00,11082.86
2020/1/3 9:15,11164.47
2020/1/3 9:30,11223.62
2020/1/3 9:45,11041.3
2020/1/3 10:00,11225.65
2020/1/3 10:15,11392.08
2020/1/3 10:30,11322.74
2020/1/3 10:45,11777.93
2020/1/3 11:00,11597.62
2020/1/3 11:15,11585.1
2020/1/3 11:30,11923.22
2020/1/3 11:45,12041.52
2020/1/3 12:00,11920.35
2020/1/3 12:15,12086.45
2020/1/3 12:30,12197.93
2020/1/3 12:45,11885.7
2020/1/3 13:00,11319.19
2020/1/3 13:15,11331.56
2020/1/3 13:30,11165.42
2020/1/3 13:45,10947.63
2020/1/3 14:00,10674.29
2020/1/3 14:15,10179.86
2020/1/3 14:30,9811.37
2020/1/3 14:45,9838.72
2020/1/3 15:00,9863.35
2020/1/3 15:15,9807.01
2020/1/3 15:30,8932.15
2020/1/3 15:45,8500.18
2020/1/3 16:00,8168.23
2020/1/3 16:15,7832.24
2020/1/3 16:30,7376.63
2020/1/3 16:45,7086.42
2020/1/3 17:00,6596.24
2020/1/3 17:15,6110.32
2020/1/3 17:30,5622.39
2020/1/3 17:45,5346.72
2020/1/3 18:00,5266.27
2020/1/3 18:15,5033.8
2020/1/3 18:30,5030.1
2020/1/3 18:45,5173.42
2020/1/3 19:00,5231.06
2020/1/3 19:15,5271.84
2020/1/3 19:30,5503.64
2020/1/3 19:45,5608.19
2020/1/3 20:00,5766.61
2020/1/3 20:15,5952.64
2020/1/3 20:30,6120.69
2020/1/3 20:45,6165.29
2020/1/3 21:00,6377.85
2020/1/3 21:15,6548.36
2020/1/3 21:30,6750.2
2020/1/3 21:45,6915.57
2020/1/3 22:00,6856.35
2020/1/3 22:15,6955.77
2020/1/3 22:30,6942.88
2020/1/3 22:45,6928.08
2020/1/3 23:00,6896.27
2020/1/3 23:15,6771.93
2020/1/3 23:30,6693.1
2020/1/3 23:45,6616.72
2020/1/4 0:00,4375.26
2020/1/4 0:15,4202.97
2020/1/4 0:30,4304.9
2020/1/4 0:45,4398.36
2020/1/4 1:00,4519.02
2020/1/4 1:15,4593.54
2020/1/4 1:30,4701.36
2020/1/4 1:45,4897.2
2020/1/4 2:00,4933.26
2020/1/4 2:15,4981.25
2020/1/4 2:30,5052.81
2020/1/4 2:45,5143
2020/1/4 3:00,5194.42
2020/1/4 3:15,5364.75
2020/1/4 3:30,5463.67
2020/1/4 3:45,5545
2020/1/4 4:00,5617.99
2020/1/4 4:15,5752.74
2020/1/4 4:30,5822.22
2020/1/4 4:45,5933.25
2020/1/4 5:00,6051.64
2020/1/4 5:15,6119.91
2020/1/4 5:30,6192.18
2020/1/4 5:45,6253.1
2020/1/4 6:00,6220.89
2020/1/4 6:15,6276.4
2020/1/4 6:30,6236.64
2020/1/4 6:45,6322.19
2020/1/4 7:00,6292.43
2020/1/4 7:15,6356.85
2020/1/4 7:30,6204.87
2020/1/4 7:45,6016.58
2020/1/4 8:00,5519.02
2020/1/4 8:15,5464.86
2020/1/4 8:30,5153.83
2020/1/4 8:45,4966.97
2020/1/4 9:00,4616.8
2020/1/4 9:15,4380.28
2020/1/4 9:30,4248.55
2020/1/4 9:45,4027.52
2020/1/4 10:00,3920.01
2020/1/4 10:15,3930.23
2020/1/4 10:30,4126.4
2020/1/4 10:45,4310.9
2020/1/4 11:00,4583.22
2020/1/4 11:15,4802.2
2020/1/4 11:30,5119.23
2020/1/4 11:45,5163.55
2020/1/4 12:00,5287.26
2020/1/4 12:15,5221.35
2020/1/4 12:30,5227.52
2020/1/4 12:45,5156.92
2020/1/4 13:00,5167.04
2020/1/4 13:15,5058.81
2020/1/4 13:30,4987.23
2020/1/4 13:45,4929.49
2020/1/4 14:00,4862.48
2020/1/4 14:15,4947.11
2020/1/4 14:30,4860.73
2020/1/4 14:45,4892.18
2020/1/4 15:00,4918.07
2020/1/4 15:15,4862.27
2020/1/4 15:30,4869.64
2020/1/4 15:45,4917.21
2020/1/4 16:00,4868.31
2020/1/4 16:15,5010.64
2020/1/4 16:30,4970.98
2020/1/4 16:45,5026.74
2020/1/4 17:00,5029.24
2020/1/4 17:15,5006.94
2020/1/4 17:30,4865.88
2020/1/4 17:45,5012.94
2020/1/4 18:00,4878.24
2020/1/4 18:15,4747.27
2020/1/4 18:30,4610.78
2020/1/4 18:45,4447.47
2020/1/4 19:00,4287.96
2020/1/4 19:15,4140.05
2020/1/4 19:30,4140.86
2020/1/4 19:45,4171.24
2020/1/4 20:00,4350.87
2020/1/4 20:15,4366.34
2020/1/4 20:30,4387.98
2020/1/4 20:45,4445.31
2020/1/4 21:00,4439.79
2020/1/4 21:15,4434.02
2020/1/4 21:30,4335.7
2020/1/4 21:45,4300.95
2020/1/4 22:00,4362.58
2020/1/4 22:15,4411.15
2020/1/4 22:30,4470.54
2020/1/4 22:45,4441.32
2020/1/4 23:00,4384.29
2020/1/4 23:15,4377.13
2020/1/4 23:30,4339.36
2020/1/4 23:45,4321.52
2020/1/5 0:00,3202.56
2020/1/5 0:15,6136.69
2020/1/5 0:30,6180.27
2020/1/5 0:45,6337.06
2020/1/5 1:00,6574.04
2020/1/5 1:15,6847.5
2020/1/5 1:30,6966
2020/1/5 1:45,7049.82
2020/1/5 2:00,7043.63
2020/1/5 2:15,7006.48
2020/1/5 2:30,7343.63
2020/1/5 2:45,7470.09
2020/1/5 3:00,7431.59
2020/1/5 3:15,7241.24
2020/1/5 3:30,6946.59
2020/1/5 3:45,6796.5
2020/1/5 4:00,6769.3
2020/1/5 4:15,6779.04
2020/1/5 4:30,6654.7
2020/1/5 4:45,6634.7
2020/1/5 5:00,6826.73
2020/1/5 5:15,6693.25
2020/1/5 5:30,6507.69
2020/1/5 5:45,6377.57
2020/1/5 6:00,6510.24
2020/1/5 6:15,6487.81
2020/1/5 6:30,6492.69
2020/1/5 6:45,6653.01
2020/1/5 7:00,6561.49
2020/1/5 7:15,6419.12
2020/1/5 7:30,6067.61
2020/1/5 7:45,5715.62
2020/1/5 8:00,5588.2
2020/1/5 8:15,5500.63
2020/1/5 8:30,5211.61
2020/1/5 8:45,5183.32
2020/1/5 9:00,5279.34
2020/1/5 9:15,5529.37
2020/1/5 9:30,5582.72
2020/1/5 9:45,5660.98
2020/1/5 10:00,5745.75
2020/1/5 10:15,5559.98
2020/1/5 10:30,5574.85
2020/1/5 10:45,5562.29
2020/1/5 11:00,5717.17
2020/1/5 11:15,5736.64
2020/1/5 11:30,5617.37
2020/1/5 11:45,5840.17
2020/1/5 12:00,5543.8
2020/1/5 12:15,5412.81
2020/1/5 12:30,5126.28
2020/1/5 12:45,4987.6
2020/1/5 13:00,4942.82
2020/1/5 13:15,4761.72
2020/1/5 13:30,4732.51
2020/1/5 13:45,4592.26
2020/1/5 14:00,4378.93
2020/1/5 14:15,4203.66
2020/1/5 14:30,4054.86
2020/1/5 14:45,3890.1
2020/1/5 15:00,3900
2020/1/5 15:15,4047.75
2020/1/5 15:30,3928.45
2020/1/5 15:45,4255.8
2020/1/5 16:00,3780.12
2020/1/5 16:15,3770.34
2020/1/5 16:30,3479.36
2020/1/5 16:45,3304.42
2020/1/5 17:00,3439.69
2020/1/5 17:15,3495.01
2020/1/5 17:30,3359.14
2020/1/5 17:45,3461.22
2020/1/5 18:00,3747.89
2020/1/5 18:15,3971.08
2020/1/5 18:30,3864.63
2020/1/5 18:45,3739.8
2020/1/5 19:00,3690.22
2020/1/5 19:15,3519.24
2020/1/5 19:30,3330.41
2020/1/5 19:45,3391.29
2020/1/5 20:00,3128.5
2020/1/5 20:15,2950.77
2020/1/5 20:30,2873.71
2020/1/5 20:45,3035.13
2020/1/5 21:00,2795.42
2020/1/5 21:15,2769.15
2020/1/5 21:30,2880.23
2020/1/5 21:45,2873.36
2020/1/5 22:00,3111.88
2020/1/5 22:15,3203.62
2020/1/5 22:30,3463.9
2020/1/5 22:45,3834.86
2020/1/5 23:00,3550.73
2020/1/5 23:15,3544.3
2020/1/5 23:30,3509.35
2020/1/5 23:45,3421.69
2020/1/6 0:00,3854.68
2020/1/6 0:15,5984.05
2020/1/6 0:30,5952.18
2020/1/6 0:45,5928.2
2020/1/6 1:00,5826.06
2020/1/6 1:15,5547.32
2020/1/6 1:30,5311.75
2020/1/6 1:45,5012.48
2020/1/6 2:00,4785.25
2020/1/6 2:15,4623.09
2020/1/6 2:30,4396.2
2020/1/6 2:45,4102.84
2020/1/6 3:00,3887.94
2020/1/6 3:15,3740
2020/1/6 3:30,3731.77
2020/1/6 3:45,3697.04
2020/1/6 4:00,3622.02
2020/1/6 4:15,3545.2
2020/1/6 4:30,3567.34
2020/1/6 4:45,3578.16
2020/1/6 5:00,3498.14
2020/1/6 5:15,3413.83
2020/1/6 5:30,3331.23
2020/1/6 5:45,3207.07
2020/1/6 6:00,2989.23
2020/1/6 6:15,2780.18
2020/1/6 6:30,2531.36
2020/1/6 6:45,2376.28
2020/1/6 7:00,2130.65
2020/1/6 7:15,1792.02
2020/1/6 7:30,1453.21
2020/1/6 7:45,1099.48
2020/1/6 8:00,872.63
2020/1/6 8:15,752.64
2020/1/6 8:30,680.4
2020/1/6 8:45,712.18
2020/1/6 9:00,710.9
2020/1/6 9:15,741.9
2020/1/6 9:30,843.79
2020/1/6 9:45,1037.26
2020/1/6 10:00,994.28
2020/1/6 10:15,1045.5
2020/1/6 10:30,1078.93
2020/1/6 10:45,1204.53
2020/1/6 11:00,1449.95
2020/1/6 11:15,1686.23
2020/1/6 11:30,1816.71
2020/1/6 11:45,2004.95
2020/1/6 12:00,2158.91
2020/1/6 12:15,2309.89
2020/1/6 12:30,2319.86
2020/1/6 12:45,2334.31
2020/1/6 13:00,2274.6
2020/1/6 13:15,2455.22
2020/1/6 13:30,2369.07
2020/1/6 13:45,2173.26
2020/1/6 14:00,2134.38
2020/1/6 14:15,2065.38
