date,Active_Power,Current_Phase_Average_Mean,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Air_Pressure,Temperature_Probe_1
2019/1/6 9:00,71.10657724,104.8401667,1.174444437,23.10555538,0.0001,953.3447266,38.00947189
2019/1/6 10:00,83.75371806,123.2546107,0.978611097,21.88055563,0.0001,953.7202759,37.51004283
2019/1/6 11:00,90.34364128,132.9753253,0.908611091,20.214722,0.0001,954.3677775,36.79974333
2019/1/6 12:00,91.61179733,134.4584961,0.739444459,20.34499979,42.81461693,954.9138896,36.73300362
2019/1/6 13:00,89.04771932,130.9617844,1.387500018,26.02611128,177.1089694,955.4624939,41.74435838
2019/1/6 14:00,80.81323115,118.9579271,3.502499998,28.85638889,509.754865,955.7152863,47.41850662
2019/1/6 15:00,68.0156978,99.88404783,3.19305561,30.98444446,742.6671244,955.7358348,53.99879678
2019/1/6 16:00,50.04795869,73.5726668,3.0088889,32.61250051,931.5728455,955.4774882,60.8147637
2019/1/6 17:00,26.81392137,39.5334657,3.024722189,33.97222201,1065.459462,954.8677673,64.99695619
2019/1/7 8:00,50.39534092,74.34241136,2.781388879,27.35333347,0.0001,954.2319489,40.72282219
2019/1/7 9:00,69.40483634,101.9674657,3.417777757,26.66138887,0.0001,953.9608256,40.50384776
2019/1/7 10:00,81.77190081,120.0040188,2.530277769,25.43027767,0.0001,954.0541789,39.73697567
2019/1/7 11:00,87.4570624,128.5061499,2.237499992,24.3508331,0.0001,954.6775004,39.19448789
2019/1/7 12:00,89.36000506,131.307607,1.842777779,23.22666693,39.86567213,955.2894541,38.7547582
2019/1/7 13:00,85.23206457,125.533734,3.484166642,25.15972201,176.0917749,955.6538849,41.65229003
2019/1/7 14:00,78.60344124,115.8096517,4.252777855,27.29638879,499.7481003,955.6222229,46.15584469
2019/1/7 15:00,66.91043186,98.45477104,4.458333353,29.59694433,734.2225647,955.2644501,51.69034863
2019/1/7 16:00,49.47627544,72.83862336,3.650555571,31.94583257,921.7742106,955.0897217,59.28384018
2019/1/7 17:00,26.8293043,39.52136008,3.390833318,33.38972219,1053.076116,954.6030528,65.37882106
2019/1/8 8:00,50.51805083,74.51364962,2.103611072,25.98833307,0.0001,953.0647024,39.77600956
2019/1/8 9:00,69.23385429,102.0186698,1.686666648,25.06638877,0.0001,953.275828,39.30929438
2019/1/8 10:00,81.85988172,120.5275377,2.586666663,25.00416692,0.0001,953.247228,39.35082753
2019/1/8 11:00,88.53021431,130.4222781,2.586944461,24.02638849,0.0001,953.7033335,38.88815403
2019/1/8 12:00,90.17227745,132.6578636,2.284166644,24.14916643,38.89023061,954.4338786,39.01365534
2019/1/8 13:00,87.38399696,128.6189779,2.863333344,26.66972208,177.4324277,954.7485962,42.31984711
2019/1/8 14:00,80.14577548,117.8761965,3.100555579,29.51916679,486.6341705,954.7430623,48.15645758
2019/1/8 15:00,67.57659403,99.40031052,3.30472221,31.76499971,710.0593109,954.4455516,54.51268133
2019/1/8 16:00,50.28687668,74.02442074,3.026666641,33.65277735,896.2803701,954.0083262,63.38483493
2019/1/8 17:00,27.31720066,40.22524325,2.86166666,35.12944412,1033.221171,953.3694407,69.62460518
2019/1/9 8:00,50.05508073,73.92358049,1.291388864,28.44666688,0.0001,950.5547231,40.46953551
2019/1/9 9:00,69.58237457,102.4132398,1.112499997,27.41277774,0.0001,950.4361216,40.00374222
2019/1/9 10:00,82.66025607,121.5598189,1.249722222,26.26277828,0.0001,950.7263845,39.46081543
2019/1/9 11:00,89.76123873,132.0652911,1.915277749,25.96333297,0.0001,951.2100016,39.46140448
2019/1/9 12:00,90.24256643,132.5895093,2.056388885,25.33805561,31.38679201,951.9269358,39.51126766
2019/1/9 13:00,87.81221644,129.0983016,2.157222231,28.80722205,174.1353563,952.5505575,43.36001587
2019/1/9 14:00,79.36901665,116.44745,3.894444426,32.69055541,466.2047145,952.8463999,50.0796051
2019/1/9 15:00,67.01711146,98.49742826,4.269722263,35.6872228,693.3945719,952.6869456,56.39389451
2019/1/9 16:00,50.10646947,73.63613478,3.926944455,37.48777739,884.7366282,952.5136159,64.22026285
2019/1/9 17:00,26.88638194,39.58367999,3.117878784,39.06681789,1016.400496,952.1607611,71.38414764
2019/1/10 8:00,49.19200675,72.37520472,1.438888888,30.08166647,0.0001,951.0902863,41.56455231
2019/1/10 9:00,68.29517651,100.3124428,3.214999984,32.80416632,0.0001,951.7736104,43.82202784
2019/1/10 10:00,81.64224243,119.7089965,3.382222215,31.85694472,0.0001,952.6441701,43.43954849
2019/1/10 11:00,88.73604457,130.2574596,2.75777779,30.41805553,0.0001,953.6622213,42.54664771
2019/1/10 12:00,88.81563886,130.0498454,2.722222189,29.81222232,29.25870053,954.7291616,42.43943278
2019/1/10 13:00,85.25610797,125.1391919,3.856666644,31.16944408,172.4547707,955.3569489,45.00441647
2019/1/10 14:00,78.23598925,114.8804277,5.07361114,33.01916631,462.5376205,955.7222137,49.22669029
2019/1/10 15:00,65.95724742,96.79221471,4.231111109,35.3075002,690.7984416,955.8274994,55.24646695
2019/1/10 16:00,48.08477942,70.62206809,3.299444437,37.56611061,876.1403147,955.8036194,62.39700031
2019/1/10 17:00,25.83899554,38.04819075,2.897222201,39.35472171,1007.530462,955.4674988,68.93583361
2019/1/11 8:00,46.94011752,69.27206453,1.466388871,31.54888884,0.0001,953.8988902,42.71627553
2019/1/11 9:00,66.38334433,97.56855329,2.017222255,30.71305609,0.0001,953.4883423,42.2647845
2019/1/11 10:00,80.00216484,117.5115604,1.683888882,30.21555583,0.0001,953.446401,42.0852321
2019/1/11 11:00,86.38184675,126.9212322,1.873055557,29.146667,0.0001,953.6138967,41.57323329
2019/1/11 12:00,88.145799,129.4906921,2.553611139,29.66500028,27.80781883,954.3138885,42.20062256
2019/1/11 13:00,84.33391889,124.2028917,3.889722188,31.83944448,174.7221521,954.9727834,45.2629776
2019/1/11 14:00,75.58771578,111.0707652,4.51222223,34.6233333,463.0541026,955.2100067,50.47128487
2019/1/11 15:00,62.04182212,91.33392525,3.394444426,36.95861181,689.5730082,954.9294535,57.25477155
2019/1/11 16:00,39.20449154,57.67290473,3.518333316,38.69916725,873.2759959,954.861674,62.71529961
2019/1/11 17:00,15.8816425,23.43892137,3.420833329,40.34277725,1009.194504,954.4272257,68.85781606
2019/1/12 8:00,45.87661266,67.52824306,1.343333334,31.98666668,0.0001,950.2627767,42.79863771
2019/1/12 9:00,64.47902743,94.81547674,1.473888884,31.40555557,0.0001,950.1299845,42.5702006
2019/1/12 10:00,76.98511378,113.288847,1.211388901,30.63111115,0.0001,950.3847402,41.93730323
2019/1/12 11:00,84.03097852,123.691206,1.739444435,30.01777808,0.0001,950.6677755,41.84485626
2019/1/12 12:00,86.85243734,127.7349237,1.885,29.43722248,26.33278554,951.2050018,41.90214316
2019/1/12 13:00,85.03017044,125.2961025,1.921666652,31.93527794,176.5991952,951.4008535,45.29415321
2019/1/12 14:00,77.52327983,114.1821715,2.095833292,35.65027809,458.0597229,951.553599,53.364652
2019/1/12 15:00,61.02081108,90.00884088,2.604999979,37.92833424,690.4360809,951.4036255,61.2867883
